Sector,Weight,Ticker
Materialien,0.0449371,EXX7
Nichtzyklische Konsumgüter,0.0392024,EXX7
Versorger,0.0018655999999999998,EXX7
Zyklische Konsumgüter,0.1833037,EXX7
Cash und/oder Derivate,0.0016594,IUSA
Energie,0.028857400000000002,IUSA
Financials,0.1349173,IUSA
Gesundheitsversorgung,0.0967505,IUSA
IT,0.33688239999999997,IUSA
Immobilien,0.0180788,IUSA
Industrie,0.0832421,IUSA
Kommunikation,0.1056458,IUSA
Materialien,0.0189284,IUSA
Nichtzyklische Konsumgüter,0.0469584,IUSA
Versorger,0.0218145,IUSA
Zyklische Konsumgüter,0.1062656,IUSA
Cash und/oder Derivate,0.0024831000000000002,IBCF
Energie,0.028821299999999998,IBCF
Financials,0.1349147,IBCF
Gesundheitsversorgung,0.0966544,IBCF
IT,0.336548,IBCF
Immobilien,0.0180484,IBCF
Industrie,0.0831053,IBCF
Kommunikation,0.10558239999999999,IBCF
Materialien,0.018816,IBCF
Nichtzyklische Konsumgüter,0.0469367,IBCF
Versorger,0.0217379,IBCF
Zyklische Konsumgüter,0.10635130000000001,IBCF
Cash und/oder Derivate,0.0010804999999999999,IS0E
Materialien,0.9989188999999999,IS0E
Cash und/oder Derivate,0.0045069,IQQH
Energie,0.0070016,IQQH
IT,0.1431636,IQQH
Industrie,0.3553331,IQQH
Materialien,0.0099621,IQQH
Versorger,0.4800329,IQQH
Cash und/oder Derivate,0.0062115,IQQQ
Energie,0.0120887,IQQQ
IT,0.0183134,IQQQ
Immobilien,0.0009237,IQQQ
Industrie,0.4619501,IQQQ
Materialien,0.060840200000000004,IQQQ
Versorger,0.4345948,IQQQ
Zyklische Konsumgüter,0.005077700000000001,IQQQ
Cash und/oder Derivate,0.0068867,IQQL
Financials,0.9931133,IQQL
Cash und/oder Derivate,0.004398900000000001,IUS3
Energie,0.0449369,IUS3
Financials,0.1833624,IUS3
Gesundheitsversorgung,0.1200071,IUS3
IT,0.1379989,IUS3
Immobilien,0.0691126,IUS3
Industrie,0.1718076,IUS3
Kommunikation,0.0306314,IUS3
Materialien,0.0545379,IUS3
Nichtzyklische Konsumgüter,0.0235624,IUS3
Versorger,0.0216865,IUS3
Zyklische Konsumgüter,0.1379577,IUS3
Cash und/oder Derivate,0.0044465,EXSA
Energie,0.0404873,EXSA
Financials,0.2472418,EXSA
Gesundheitsversorgung,0.1362763,EXSA
IT,0.0718722,EXSA
Immobilien,0.0118353,EXSA
Industrie,0.196985,EXSA
Kommunikation,0.0291633,EXSA
Materialien,0.0533632,EXSA
Nichtzyklische Konsumgüter,0.0815693,EXSA
Versorger,0.0458205,EXSA
Zyklische Konsumgüter,0.0809384,EXSA
Cash und/oder Derivate,0.006590899999999999,EXV1
Financials,0.9934088,EXV1
Cash und/oder Derivate,0.0052035,ISPA
Energie,0.105089,ISPA
Financials,0.4028348,ISPA
Gesundheitsversorgung,0.0158179,ISPA
IT,0.007673,ISPA
Immobilien,0.06702620000000001,ISPA
Industrie,0.0703149,ISPA
Kommunikation,0.0275829,ISPA
Materialien,0.0849791,ISPA
Nichtzyklische Konsumgüter,0.0280421,ISPA
Versorger,0.0850207,ISPA
Zyklische Konsumgüter,0.1004158,ISPA
Cash und/oder Derivate,0.00406,SXRG
Energie,0.046601500000000004,SXRG
Financials,0.1657178,SXRG
Gesundheitsversorgung,0.1367361,SXRG
IT,0.1357071,SXRG
Immobilien,0.057118999999999996,SXRG
Industrie,0.2020293,SXRG
Kommunikation,0.0292594,SXRG
Materialien,0.0449864,SXRG
Nichtzyklische Konsumgüter,0.033091499999999996,SXRG
Versorger,0.0233324,SXRG
Zyklische Konsumgüter,0.1213605,SXRG
Cash und/oder Derivate,0.0031525,SXRT
Energie,0.0346779,SXRT
Financials,0.2607919,SXRT
Gesundheitsversorgung,0.0609431,SXRT
IT,0.15296769999999998,SXRT
Industrie,0.2168154,SXRT
Kommunikation,0.0232124,SXRT
Materialien,0.030208099999999998,SXRT
Nichtzyklische Konsumgüter,0.0521736,SXRT
Versorger,0.043824600000000005,SXRT
Zyklische Konsumgüter,0.1212327,SXRT
Cash und/oder Derivate,0.0037091,SXRU
Energie,0.0198285,SXRU
Financials,0.2843706,SXRU
Gesundheitsversorgung,0.1237234,SXRU
IT,0.1941228,SXRU
Industrie,0.1501555,SXRU
Kommunikation,0.0193255,SXRU
Materialien,0.0424599,SXRU
Nichtzyklische Konsumgüter,0.0403265,SXRU
Zyklische Konsumgüter,0.1219782,SXRU
Cash und/oder Derivate,0.0055757,SXRW
Energie,0.0873681,SXRW
Financials,0.2608413,SXRW
Gesundheitsversorgung,0.1386715,SXRW
IT,0.009672,SXRW
Immobilien,0.0094166,SXRW
Industrie,0.1580181,SXRW
Kommunikation,0.021507699999999998,SXRW
Materialien,0.0711214,SXRW
Nichtzyklische Konsumgüter,0.1442646,SXRW
Versorger,0.0451567,SXRW
Zyklische Konsumgüter,0.0483866,SXRW
Cash und/oder Derivate,0.0034379000000000007,SXR2
Energie,0.1476772,SXR2
Financials,0.37672289999999997,SXR2
IT,0.11212559999999999,SXR2
Immobilien,0.0022544,SXR2
Industrie,0.0935088,SXR2
Kommunikation,0.0075415000000000005,SXR2
Materialien,0.1624748,SXR2
Nichtzyklische Konsumgüter,0.0366546,SXR2
Versorger,0.0249945,SXR2
Zyklische Konsumgüter,0.0326077,SXR2
Cash und/oder Derivate,0.0027459999999999984,CEBL
Energie,0.0282256,CEBL
Financials,0.2055387,CEBL
Gesundheitsversorgung,0.0345656,CEBL
IT,0.3502364,CEBL
Immobilien,0.0085228,CEBL
Industrie,0.0660526,CEBL
Kommunikation,0.0997221,CEBL
Materialien,0.0379599,CEBL
Nichtzyklische Konsumgüter,0.0250757,CEBL
Versorger,0.015122199999999999,CEBL
Zyklische Konsumgüter,0.126232,CEBL
Cash und/oder Derivate,0.0048414,SXR7
Energie,0.0293384,SXR7
Financials,0.2532894,SXR7
Gesundheitsversorgung,0.0669297,SXR7
IT,0.1261345,SXR7
Immobilien,0.0078867,SXR7
Industrie,0.2095914,SXR7
Kommunikation,0.0376798,SXR7
Materialien,0.0377042,SXR7
Nichtzyklische Konsumgüter,0.0558257,SXR7
Versorger,0.0646014,SXR7
Zyklische Konsumgüter,0.1061767,SXR7
Cash und/oder Derivate,0.0036898999999999994,SXR5
Energie,0.009293099999999999,SXR5
Financials,0.1728002,SXR5
Gesundheitsversorgung,0.0660032,SXR5
IT,0.14094980000000001,SXR5
Immobilien,0.0238365,SXR5
Industrie,0.2572918,SXR5
Kommunikation,0.0732456,SXR5
Materialien,0.0337877,SXR5
Nichtzyklische Konsumgüter,0.0449273,SXR5
Versorger,0.0106651,SXR5
Zyklische Konsumgüter,0.1635093,SXR5
Cash und/oder Derivate,0.0023725,SXR1
Energie,0.0198561,SXR1
